0,1,2,Final_Marks
-11.293708,-3.9641933,2.918294,4
-11.151053,-3.5283263,2.9990263,5
-13.125028,-3.131271,2.7416906,3
-12.919031,-3.3152769,3.1728456,9
-11.473314,-4.6057677,4.2151237,7
-10.889976,-3.9537811,2.3338938,5
-11.194398,-4.3278112,2.4336102,5
-12.954004,-3.135449,3.5691285,6
-13.27806,-3.3541384,3.5477955,7
-11.085845,-3.537783,2.8828528,6
-12.855847,-3.5984447,3.3007863,7
-11.371216,-3.829824,2.4476519,5
-10.812015,-3.9059675,2.0937316,5
-11.477648,-4.6077843,4.2237725,6
4.8320293,1.0543456,23.053247,8
4.911062,0.5222944,23.435083,6
4.7356987,0.5004279,23.19219,6
4.784228,1.138721,22.991077,7
4.20285,0.5622717,23.396385,6
4.2102475,1.3634435,23.560326,9
5.4171886,1.1339015,23.349703,7
5.506884,0.68618715,23.598734,6
5.4394584,0.65724266,23.454556,6
4.0766244,1.1224815,23.086796,8
4.3567157,1.3526729,23.429537,10
4.7412157,1.7712638,20.994005,4
4.6325045,1.6279052,20.929857,5
4.388027,0.83009136,21.971394,5
4.5657907,1.5298162,20.873093,5
4.492796,0.6467792,22.578623,4
5.006715,1.4181733,23.805712,6
4.315644,1.7096769,24.244541,3
3.9292738,0.88687515,20.568792,3
4.3569837,1.2976227,20.83867,5
4.3576,1.3505597,23.425924,10
4.6079583,1.5819823,20.930748,4
4.7412157,1.7712638,20.994005,5
4.4319506,0.612097,23.68221,6
5.006715,1.4181733,23.805712,7
4.546557,0.7242921,23.905375,6
4.1023464,1.1565164,23.105371,8
-10.300805,-4.1907597,1.7594178,6
4.5654955,1.3762751,23.884783,7
4.5555506,1.5305241,20.93103,4
4.7457895,1.7811869,20.972662,5
4.269046,0.5679287,23.44099,5
5.0067143,1.4181688,23.805721,6
4.3184776,1.454165,23.522455,9
4.2338605,1.2273388,23.21564,8
4.5376353,1.4814107,23.351652,7
3.9292583,0.8869127,20.568863,4
4.649224,1.6510502,20.926298,4
4.740705,1.7709701,20.98775,5
4.148432,0.5894082,23.570759,6
-1.5639472,7.785199,12.14371,3
-1.8852841,7.912565,11.799214,2
-2.2043996,7.0735316,12.828285,2
-1.6250088,8.623505,12.172176,0
-2.7451134,7.537361,12.47661,6
